Title,Year,Casey,Dana,Brett,Brian,Dave,Jeff,Devin,Mark,RyRy,Eric,Hans,Susan,Jason,Julie,Brady,Lucy,Bryan,Owen
Ant-Man and the Wasp,2018,6,.,7.5,7.5,6,8.5,7,.,8,.,.,4,.,.,.,.,.,.
Avengers: Infinity War,2018,8,.,8,6,8,8,7.5,5.5,8,.,.,.,.,.,7.5,.,.,.
Beirut,2018,7,6.5,.,6.5,6,.,.,.,.,.,.,.,.,.,.,.,.,.
Black Panther,2018,7.5,8,8.5,8.5,8,8,8,7.5,7,.,.,7,9,.,7.5,.,7,.
Blockers,2018,.,.,7.5,7,6,.,8,.,.,.,.,.,5,.,.,.,.,.
Deadpool 2,2018,.,.,8.5,8.5,7,.,9.5,7,8,.,.,7,.,.,8,.,.,.
Eighth Grade,2018,8.5,8,9,9,9,.,9,.,.,.,.,.,.,.,8.5,.,.,.
First Reformed,2018,5.5,7,8,9,10,.,.,.,.,.,.,.,.,.,.,.,.,.
Game Night,2018,8.5,8,7.5,7.5,6.5,7.5,9,8.5,8,7.75,7.5,7,9,.,7.5,.,.,.
Hearts Beat Loud,2018,6.5,7.5,8,.,7.5,.,9.5,.,.,.,9,.,.,.,.,.,.,.
Hereditary,2018,5.5,4,6.5,8.5,10,.,.,.,.,.,.,.,.,.,6,.,10,.
I Feel Pretty,2018,5.5,7.5,5,.,.,.,6,8,.,.,.,.,.,.,.,.,.,.
Incredibles 2,2018,5,6,7.5,.,.,6,6,7,8,7,.,.,.,.,6.5,.,.,.
Isle of dogs,2018,8,.,5,3,3,7,8,.,.,.,.,.,.,.,8,.,.,.
Jurassic World: Fallen Kingdom,2018,.,.,7,4,.,4,4.5,.,3,4,.,.,.,.,4,.,.,.
Life of the Party,2018,.,.,3,.,.,.,.,2.5,.,.,.,.,3,4,.,.,2,.
"Love, Simon",2018,.,.,.,.,.,.,7,.,.,.,.,8,.,.,.,.,.,.
Ocean's Eight,2018,6,7,6,.,.,6.5,6,.,.,.,.,6,.,.,5,.,.,.
Ready Player One,2018,7.5,7,8,6.5,6,7,8,8.5,8,5.5,6.5,6,.,.,3,.,.,.
Solo: A Star Wars Story,2018,7,8,7.5,6,6.5,8,7.5,8,7,7.5,.,.,8,.,9,.,8,.
Sorry to Bother You,2018,.,5,6.5,6,8,.,9,.,.,.,.,.,.,.,.,.,.,.
The Informant!,2009,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.
The Week Of,2018,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.
Three Identical Strangers,2018,8.5,8.5,8,8.5,8,.,7.5,.,7,.,.,.,.,.,8.5,.,.,.
Tully,2018,7,7,8,.,8.5,.,8,.,.,.,.,.,.,.,.,.,.,.
Unsane,2018,6.5,8,7.5,7.5,.,.,7,.,.,.,.,.,.,.,4.5,.,.,.
Won't You Be My Neighbor?,2018,8,8,8,8.5,9,.,9,.,9,.,8.5,.,.,.,.,.,.,.
Mission: Impossible - Fallout,2018,8.5,8.5,9,8,9.5,8,8,8.5,7,8.25,8.5,.,.,.,5,.,.,.
"Don't Worry, He Won't Get Far On Foot",2018,.,.,7,.,.,.,6,.,.,.,.,7,.,.,.,.,.,.
Blindspotting,2018,.,.,7.5,.,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.
BlacKkKlansman,2018,8,.,8.5,9,9.5,.,8.5,.,.,.,.,8.5,8,.,.,.,.,.
Crazy Rich Asians,2018,5.5,7,8,6.5,8,6,7.5,8,7,.,.,7,.,.,.,.,.,.
The Meg,2018,.,.,6.5,.,6,4,.,6,.,4.5,.,.,.,.,.,.,5,.
Being George Clooney,2016,7,8,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
How It Ends,2018,.,.,.,.,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.
The Man From Earth,2007,.,.,.,.,.,.,.,.,.,8.5,.,.,.,.,.,.,.,.
Searching,2018,8.5,8,8,8,,.,.,8,.,.,.,.,.,.,.,.,.,.
Blaze,2018,3,3,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.
Locke,2013,7.5,.,7.5,8,.,.,8,.,.,.,6.5,.,.,.,.,.,.,.
A Simple Favor,2018,8,8,7,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.
A Serious Man,2009,.,.,.,.,7.5,.,8,.,.,7,.,.,.,.,8,.,.,.
OtherLife,2017,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.
Hold the Dark,2018,3.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
A Star is Born,2018,8.5,8,5.5,8,7,5,9,7.5,.,.,.,8.5,.,.,.,.,.,.
Tag,2018,.,4,5,.,.,.,.,6,7,6,.,.,.,.,.,.,.,.
Private Life,2018,6.5,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
The Witch,2015,.,.,8,6.5,10,.,9,.,.,.,.,.,.,.,7,.,.,.
Bad Times at El Royale,2018,5,.,.,6,.,.,8,.,.,.,.,.,.,.,.,.,.,.
Free Solo,2018,8.5,7,9,8.5,.,8,8.5,8,.,8.5,9,.,.,.,7,.,8,.
mid90s,2018,.,.,7,.,7,.,5.5,.,.,.,.,.,.,.,.,.,.,.
First Man,2018,7,7,7.5,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.
Can You Ever Forgive Me?,2018,7.5,7,7.5,.,8.5,.,.,.,7,.,.,.,.,.,.,.,.,.
Halloween,2018,.,.,7.5,.,9.5,.,.,.,.,.,.,.,.,.,6.5,.,.,.
Skate Kitchen,2018,.,.,8,.,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.
"Juliet, Naked",2018,9,8,8,8.5,8,.,8,.,8,.,.,.,.,.,.,.,.,.
The Hate U Give,2018,8,8.5,8.5,.,.,.,6.5,.,.,.,.,.,.,.,.,.,.,.
War for the Planet of the Apes,2017,.,.,6.5,7.5,.,.,.,7.5,.,7.5,.,.,.,.,8,.,.,.
Venom,2018,.,.,4.5,.,.,7.5,5,5.5,.,.,.,.,.,.,6,.,.,.
Goosebumps 2,2018,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.
Bohemian Rhapsody,2018,6.5,8,6.5,.,7,8,7.5,8,8,.,8,8.5,.,.,9,.,8,.
Boy Erased,2018,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.
Overlord,2018,.,.,7,.,7,.,7.5,.,.,.,6.5,.,.,.,.,.,.,.
Widows,2018,8,8,7.5,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.
The Place Beyond the Pines,2012,.,.,.,.,4,.,7,.,.,7,6.5,.,.,.,.,.,.,.
Outlaw King,2018,5.5,.,.,.,.,5,.,.,.,.,7.5,.,.,.,.,.,.,.
Green Book,2018,8,8,7.5,8,8,8.5,8,.,.,.,.,10,.,.,.,.,10,.
Creed 2,2018,7,.,7,6.5,8,.,7,7.5,.,.,.,.,.,.,7.5,.,.,.
The Favourite,2018,3,4.5,5.5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Leave No Trace,2018,7,7,.,.,.,.,7.5,.,.,.,8.5,.,.,.,.,.,.,.
Aquaman,2018,.,.,8,9,.,3,6,.,.,.,.,.,.,.,.,.,.,.
Roma,2018,.,.,9,7.5,10,8,.,.,.,.,.,.,.,.,.,.,.,.
Spiderman: Into the Spider-verse,2018,8,7.5,9,8.5,9.5,7.5,9.5,9,9.5,7,.,7,9.5,.,.,.,7,.
Mary Queen of Scots,2018,7,7,.,.,.,1.5,.,.,.,.,.,.,.,.,6.5,.,.,.
Papillon,2018,6.5,.,.,.,.,.,5,.,.,.,.,.,.,.,6.5,.,.,.
Mule,2018,6,6.5,.,.,.,6,.,6.5,.,.,7,.,.,.,.,.,.,.
Nutcracker and the Four Realms,2018,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.
Mary Poppins Returns,2018,6,8,.,7.5,8,4,7,.,5,7,.,.,.,.,.,.,8,.
Fantastic Beasts: Grindelwald,2018,.,.,.,.,.,6.5,.,.,7,7,.,.,.,.,7.5,.,.,.
Bird Box,2018,5.5,7.5,5.5,.,.,.,6,.,.,.,.,.,7.5,8,7,.,.,.
Christopher Robin,2018,7.5,.,.,7.5,.,8,.,7,8,7.75,9,.,8,.,.,.,.,.
The Grinch,2018,4,.,.,.,.,5,.,7,3,.,.,.,.,.,.,.,.,.
Support the Girls,2018,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Shoplifters,2018,6.5,7.5,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.
Bumblebee,2018,.,.,6.5,8,.,.,.,.,.,.,.,.,8,7,.,.,.,.
Minding the Gap,2018,.,.,8,9.5,8.5,.,.,.,.,.,.,.,.,.,.,.,.,.
Moulin Rouge,2001,8.5,8.5,8.5,9,8,7,9,8.5,8,8,8.5,.,9.5,9,8.5,.,.,.
If Beale Street Could Talk,2018,6.5,7,7.5,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.
